dog,height,weight,lifespan,areaOfOrigin
toy-terrier,25-30,2.7-3.6,10-13,England
chow,48-56,25-32,9-15,China
flat-coated-retriever,59–62,27–36,8-14,England
norwich-terrier,10-18,5-5.4,12-14,GreatBritain
soft-coated-wheaten-terrier,46–48,16–18,12-15,IrishIsland
staffordshire-bullterrier,36–41,13–17,12-14,England
english-foxhound,56–63,27–34,10-13,England
gordon-setter,61-69,25-36,10-12,Scotland
siberian-husky,54–60,20–27,12-15,Siberia
newfoundland,69-74,59-68,9-12,Canada
briard,62-68,35,10-12,France
chesapeake-bay-retriever,58-66,29-36,10-13,UnitedStates
dandie-dinmont,14-18,8.2-11,12-15,Scotland
great-pyrenees,69-81,45,10-12,Spain
beagle,36-41,10-11,12-15,England
vizsla56-66,,20-27,10-14,Hungary
west-highland-white-terrier,25-30,7-10,12-16,Scotland
kerry-blue-terrier,46-51,15-18,12-15,Ireland
whippet,46-51,11-21,12-15,England
sealyham-terrier,30,9,14-16,Wales
standard-poodle,45-60,30-38,12-15,France
keeshond,44-48,15-20,12-14,Germany
japanese-spaniel,1.4-6.8,14-21,12-14,Japan
miniature-poodle,28-38,7-8,15,France
pomeranian,18-30,1-3,12-16,Poland
curly-coated-retriever,63-69,29-36,8-12,England
yorkshire-terrier,20-23,2-3,12-16,England
pembroke,25–30,10–14,12-15,Pembrokeshire
great-dane,76-86,54-90,7-10,Germany
blenheim-spaniel,23-28,3.6-6.4,12-14,England
silky-terrier,23-25,4-5,12-15,Australia
sussex-spaniel,38-40,18–20,12-15,England
german-short-haired-pointer,58–64,25–32,12-14,Germany
french-bulldog,33–40,8-14,10-12,France
bouvier-des-flandres,58-71,34-50,10-12,Belgium
tibetan-mastiff,61-71,64-78,10-14,Tibet
english-springer,48-56,20-25,12-14,England
cocker-spaniel,38–43,13–16,12-15,England
rottweiler,61-69,43-59,8-11,Germany
